"","edo_dto","cand.morena","alianza.prianrd","PAN.solo","PRI.solo","PRD.solo","PVEM.solo","PT.solo","MC","PES","RSP","FXM","CI","total.votos","lista.nominal","v.validos","alianza.morena","alianza.oposic","prop.morena","gana.morena","gana.prianrd","gana.pan","gana.pri","gana.mc","gana.pvem","alianzas","participacion","postula_reelec","cand.morena18","pan.y.aliados18","pri.y.aliados18","PAN.solo18","PRI.solo18","PRD.solo18","PVEM.solo18","PT.solo18","MC.solo18","NA.solo18","PES.solo18","total.votos18","lista.nominal18","v.validos18","alianza.morena18","alianza.pan18","alianza.pri18","prop.morena18","gana.morena18","gana.pri.y.aliados18","gana.pan.y.aliados18","gana.pri.solo18","gana.pan.solo18","d.morena","gana18","gana21","cambio.morena"
"147","20.7",108328,59685,0,0,0,0,0,4153,5492,3745,4209,0,190695,288885,185612,1,1,0.58362605866,1,0,0,0,0,0,"Ambas",0.660106962978348,0,102943,29176,62084,0,0,0,0,0,0,0,0,203777,285218,194203,1,1,1,0.530079349958549,1,0,0,0,0,0.0535467087014518,"Morena","Morena","Retiene"
"148","20.8",87866,50541,0,0,0,0,0,6329,7174,2790,6785,0,166460,323518,161485,1,1,0.544112456265288,1,0,0,0,0,0,"Ambas",0.514530876179996,1,132759,31828,38352,0,0,0,0,0,0,0,0,210740,312825,202939,1,1,1,0.654181798471462,1,0,0,0,0,-0.110069342206174,"Morena","Morena","Retiene"
"149","20.9",81516,73865,0,0,0,0,0,3055,2914,4954,4033,0,178019,289014,170337,1,1,0.478557213054122,1,0,0,0,0,0,"Ambas",0.615952860415066,1,90241,35246,53607,0,0,0,0,0,0,0,0,186339,NA,179094,1,1,1,0.503875060024345,1,0,0,0,0,-0.0253178469702227,"Morena","Morena","Retiene"
"150","21.1",80586,74658,0,0,0,0,0,20645,7699,3645,4528,0,202103,292805,191761,1,1,0.420241863569756,1,0,0,0,0,0,"Ambas",0.69023069961237,0,74101,72199,0,0,40553,0,7551,0,0,3935,0,210054,279935,198339,1,1,0,0.373607812886018,1,0,0,0,0,0.0466340506837377,"Morena","Morena","Retiene"
"151","21.10",70626,81367,0,0,0,0,0,7730,9973,4387,6959,0,188577,357851,181042,1,1,0.390108372642812,0,1,0,0,0,0,"Ambas",0.526970722451523,1,110408,65343,0,0,19064,0,10817,0,0,5730,0,220757,328497,211362,1,1,0,0.522364474219585,1,0,0,0,0,-0.132256101576773,"Morena","VaXM","Pierde"
"152","21.11",58750,62013,0,0,0,0,0,4092,2498,2152,3102,0,138398,334724,132607,1,1,0.443038451967091,0,1,0,0,0,0,"Ambas",0.413469007301538,0,102934,44317,0,0,21115,0,6881,0,0,3352,0,185730,307513,178599,1,1,0,0.57634141288585,1,0,0,0,0,-0.13330296091876,"Morena","VaXM","Pierde"
"153","21.12",65924,90692,0,0,0,0,0,4815,2211,1231,3257,0,173688,337166,168130,1,1,0.392101350145721,0,1,0,0,0,0,"Ambas",0.515140909818902,0,110533,61118,0,0,24644,0,9036,0,0,3508,0,216756,NA,208839,1,1,0,0.52927374676186,1,0,0,0,0,-0.137172396616139,"Morena","VaXM","Pierde"
"154","21.13",83616,60706,0,0,0,0,0,7678,5164,6560,7939,0,180298,324476,171663,1,1,0.48709389909299,1,0,0,0,0,0,"Ambas",0.555658970154958,0,89943,52798,0,0,38896,0,10345,0,0,5178,0,207519,NA,197160,1,1,0,0.45619293974437,1,0,0,0,0,0.0309009593486203,"Morena","Morena","Retiene"
"155","21.14",95692,72250,0,0,0,0,0,6340,5772,5056,5911,0,199960,315327,191021,1,1,0.500950157312547,1,0,0,0,0,0,"Ambas",0.634135357898309,1,100715,48448,0,0,47309,0,6356,0,0,4917,0,219469,307143,207745,1,1,0,0.484801078244964,1,0,0,0,0,0.016149079067583,"Morena","Morena","Retiene"
"156","21.15",86030,41131,0,0,0,0,0,6384,7116,1898,8847,0,159406,316732,151406,1,1,0.568207336565262,1,0,0,0,0,0,"Ambas",0.503283533081596,0,109274,34799,0,0,29664,0,12006,0,0,4483,0,198958,NA,190226,1,1,0,0.574443030921115,1,0,0,0,0,-0.00623569435585336,"Morena","Morena","Retiene"
